county_fips,production_survey
1001,87200.0
1003,371444.44444444444
1005,40333.333333333336
1007,
1009,
1011,
1013,4500.0
1015,38500.0
1017,14000.0
1019,59250.0
1021,
1023,
1025,
1027,
1029,
1031,29500.0
1033,61666.666666666664
1035,
1037,
1039,23333.333333333332
1041,
1043,58200.0
1045,46000.0
1047,55200.0
1049,77800.0
1051,16333.333333333334
1053,152500.0
1055,
1057,
1059,24000.0
1061,79000.0
1063,
1065,
1067,92111.11111111111
1069,109875.0
1071,71000.0
1073,
1075,
1077,180250.0
1079,75800.0
1081,16000.0
1083,643600.0
1085,61000.0
1087,16500.0
1089,614888.8888888889
1091,
1093,15000.0
1095,36333.333333333336
1097,8000.0
1099,39000.0
1101,31000.0
1103,90800.0
1105,
1107,39500.0
1109,27500.0
1111,
1113,24000.0
1115,
1117,
1119,
1121,118400.0
1123,
1125,48000.0
1127,
1129,66333.33333333333
1131,
1133,
4001,
4003,95000.0
4005,
4007,
4009,
4011,
4012,275733.3333333333
4013,195620.0
4015,
4017,
4019,
4021,113300.0
4023,
4025,
4027,146900.0
5001,3180062.5
5003,313375.0
5005,
5007,
5009,
5011,
5013,
5015,
5017,827692.3076923077
5019,
5021,619875.0
5023,
5025,
5027,
5029,243312.5
5031,472694.7368421053
5033,128323.07692307692
5035,2343705.882352941
5037,1248894.7368421052
5039,
5041,806888.8888888889
5043,262083.33333333334
5045,162714.2857142857
5047,
5049,
5051,
5053,
5055,510937.5
5057,
5059,
5061,
5063,303993.3333333333
5065,
5067,1230157.894736842
5069,1304777.7777777778
5071,53900.0
5073,401923.07692307694
5075,620500.0
5077,1520000.0
5079,459733.3333333333
5081,316090.9090909091
5083,120142.85714285714
5085,1170944.4444444445
5087,7100.0
5089,
5091,488222.22222222225
5093,1783333.3333333333
5095,1244421.0526315789
5097,
5099,
5101,
5103,
5105,49000.0
5107,1456800.0
5109,
5111,1077950.0
5113,
5115,153625.0
5117,1024222.2222222222
5119,371321.4285714286
5121,185181.81818181818
5123,1589235.294117647
5125,
5127,
5129,
5131,60000.0
5133,
5135,
